Num;Groupe Candidat;Classement recrutement (dans le groupe);Type De Formation;Serie Diplome Code;Mention Diplome;Entree
140;Bac etranger;;Terminale;;;2017
18;Bac général-S;79;Terminale;S;Admis sans mention;2017
196;Bac général-S;;Terminale;S;;2017
83;Bac général-S;119;Terminale;S;Admis sans mention;2017
30;Bac Technologique (STI,STI2D);3;Terminale;STI2D;Admis mention Très Bien;2016
40;Bac Technologique (STI,STI2D);61;Terminale;STI2D;Admis mention Assez Bien;2018
195;Bac général-S (ISN);83;Terminale;S;Admis sans mention;2017
97;Bac général-S;;Reprise d'études;;;2016
106;Bac etranger;;Terminale;;;2017
207;Bac Technologique (STI,STI2D);37;Terminale;STI2D;Admis mention Bien;2018
11;Bac général-S (ISN);99;Terminale;S;Admis mention Assez Bien;2018
149;Bac général-S;66;Terminale;S;Admis mention Bien;2017
143;Bac général-S;113;Terminale;S;Admis sans mention;2016
201;Bac général-S;34;Terminale;S;Admis mention Bien;2018
204;Bac général-S;86;Terminale;S;Admis mention Assez Bien;2018
102;Bac Technologique (STI,STI2D);;Terminale;STI2D;Admis mention Assez Bien;2016
244;Bac Technologique (STI,STI2D);65;Terminale;STI2D;Admis mention Assez Bien;2018
236;Bac général-S;;Licence ;S;Admis sans mention;2016
246;Bac général-S;103;Terminale;S;Admis mention Assez Bien;2018
82;Bac général-S (ISN);70;Terminale;S;Admis sans mention;2016
181;Bac général-S (ISN);101;Terminale;S;Admis mention Assez Bien;2017
65;Bac général-S (ISN);30;Terminale;S;Admis sans mention;2016
219;Bac général-S;62;Licence ;S;Admis mention Assez Bien;2016
184;Bac général-S;58;Terminale;S;Admis mention Assez Bien;2016
79;Bac Technologique (STI,STI2D);8;Terminale;STI2D;Admis mention Bien;2018
245;Bac général-S;144;Terminale;S;Admis mention Assez Bien;2018
63;Bac general - autre (ES, L, etc.);7;Terminale;ES;Admis mention Assez Bien;2016
91;Bac Technologique (STI,STI2D);114;Terminale;STI2D;Admis mention Assez Bien;2018
186;Bac général-S (ISN);12;Terminale;S;Admis mention Assez Bien;2017
105;Bac général-S (ISN);98;Terminale;S;Admis sans mention;2017
56;Bac général-S (ISN);64;Terminale;S;Admis mention Assez Bien;2018
61;Bac général-S;197;Terminale;S;Admis sans mention;2018
100;Bac Technologique (STI,STI2D);115;Terminale;STI2D;Admis mention Assez Bien;2018
202;Bac général-S (ISN);42;Terminale;S;Admis mention Assez Bien;2018
123;Bac general - autre (ES, L, etc.);2;Terminale;ES;Admis mention Bien;2017
252;Bac etranger;;Terminale;;;2016
223;Bac général-S;14;Terminale;S;Admis mention Bien;2018
116;Bac général-S (ISN);45;Terminale;S;Admis mention Assez Bien;2018
4;Bac général-S;51;Terminale;S;Admis sans mention;2016
164;Bac général-S (ISN);58;Terminale;S;Admis mention Assez Bien;2016
87;Bac général-S;52;Terminale;S;Admis sans mention;2017
194;Bac général-S;14;Terminale;S;Admis mention Bien;2016
139;Bac etranger;;;;;2016
226;Bac Technologique (STI,STI2D);64;Terminale;STI2D;Admis mention Assez Bien;2017
33;Bac Technologique (STI,STI2D);6;Terminale;STL;Admis sans mention;2016
66;Bac général-S;102;Terminale;S;Admis sans mention;2016
134;Bac général-S (ISN);10;Terminale;S;Admis mention Bien;2018
20;Bac général-S;55;Terminale;S;Admis sans mention;2016
222;Bac général-S;99;Terminale;S;Admis sans mention;2016
