code;Situation;Alternance;Niveau formation;complement;promo
106;Etudes longues;En contrat d'apprentissage;L3, Ecole d'ingénieur;Ecole Privée;2019
149;Etudes longues;En formation initiale;L3, Ecole d'ingénieur;Univ Publique;2019
102;Année sabbatique;;;;2019
181;Etudes longues;En formation initiale;L2, année spéciale,...;Univ Publique;2019
63;Etudes longues;En contrat d'apprentissage;L3, Ecole d'ingénieur;Ecole Ingénieur Publique;2019
186;Emploi / Recherche d'emploi;;;;2019
105;Etudes longues;En contrat de professionnalisation;L3, Ecole d'ingénieur;Ecole Privée;2019
123;Etudes longues;En contrat d'apprentissage;L3, Ecole d'ingénieur;Ecole Ingénieur Publique;2019
87;Etudes longues;En contrat d'apprentissage;L3, Ecole d'ingénieur;Ecole Privée;2019
130;Etudes longues;En formation initiale;L3, Ecole d'ingénieur;Univ Publique;2019
73;Etudes longues;En formation initiale;L3, Ecole d'ingénieur;Univ Publique;2019
13;Etudes longues;En contrat d'apprentissage;L3, Ecole d'ingénieur;Ecole Ingénieur Publique;2019
136;Licence Pro;En contrat d'apprentissage;Licence Professionnelle ou Bac+3 professionnalisant;LP;2019
34;Etudes longues;En formation initiale;L3, Ecole d'ingénieur;Univ Publique;2019
121;Etudes longues;En formation initiale;L3, Ecole d'ingénieur;Univ Publique;2019
206;Etudes longues;En formation initiale;L3, Ecole d'ingénieur;Univ Publique;2019
110;Licence Pro;En contrat d'apprentissage;Licence Professionnelle ou Bac+3 professionnalisant;LP;2019
189;Etudes longues;En formation initiale;L2, année spéciale,...;Univ Publique;2019
180;Licence Pro;En contrat d'apprentissage;Licence Professionnelle ou Bac+3 professionnalisant;LP;2019
127;Etudes longues;En formation initiale;L3, Ecole d'ingénieur;Ecole Privée;2019
60;Licence Pro;En contrat de professionnalisation;Licence Professionnelle ou Bac+3 professionnalisant;LP;2019
218;Etudes longues;En contrat d'apprentissage;L3, Ecole d'ingénieur;Ecole Ingénieur Publique;2019
161;Etudes longues;En formation initiale;Baccalauréat québecois;Univ Publique;2019
157;Etudes longues;En formation initiale;Baccalauréat québecois;Univ Publique;2019
132;Etudes longues;En formation initiale;L2, année spéciale,...;Univ Publique;2019
210;Licence Pro;En contrat d'apprentissage;Licence Professionnelle ou Bac+3 professionnalisant;LP;2019
193;Etudes longues;En contrat d'apprentissage;L3, Ecole d'ingénieur;Ecole Ingénieur Publique;2019
141;Année sabbatique;;;;2019
248;Etudes longues;En formation initiale;L3, Ecole d'ingénieur;Univ Publique;2019
242;Etudes longues;En formation initiale;L3, Ecole d'ingénieur;Ecole Privée;2019
256;Etudes longues;En contrat de professionnalisation;L3, Ecole d'ingénieur;Ecole Privée;2019
44;Licence Pro;En contrat d'apprentissage;Licence Professionnelle ou Bac+3 professionnalisant;LP;2019
54;Emploi / Recherche d'emploi;;;;2019
247;Etudes longues;En formation initiale;Baccalauréat québecois;Univ Publique;2019
104;Licence Pro;En contrat d'apprentissage;Licence Professionnelle ou Bac+3 professionnalisant;LP;2019
163;Etudes longues;En formation initiale;L3, Ecole d'ingénieur;Univ Publique;2019
101;Etudes longues;En formation initiale;Baccalauréat québecois;Univ Publique;2019
257;Emploi / Recherche d'emploi;;;;2019
131;Licence Pro;En formation initiale;Licence Professionnelle ou Bac+3 professionnalisant;LP;2019
115;Licence Pro;En formation initiale;Licence Professionnelle ou Bac+3 professionnalisant;LP;2019
208;Emploi / Recherche d'emploi;;;;2019
99;Licence Pro;En contrat d'apprentissage;Licence Professionnelle ou Bac+3 professionnalisant;LP;2019
137;Etudes longues;En formation initiale;L3, Ecole d'ingénieur;Univ Publique;2019
174;Etudes longues;En contrat d'apprentissage;L3, Ecole d'ingénieur;Ecole Ingénieur Publique;2019
146;Etudes longues;En formation initiale;L2, année spéciale,...;Univ Publique;2019
169;Etudes longues;;Baccalauréat québecois;Univ Publique;2019
